number,Title,description,Label1,Label2,milestone ,Status,assignee_username,creator
160,API Server using Zend Apigility,API Server using Zend Apigility,Feature,Completed,,closed,,
161,Data parsing/Validation using global scope at AngularJS,Data parsing/Validation using global scope at AngularJS,Feature,Completed,,closed,,
162,"Module structure for Calendars (Google Calendar,i-Cal,Office 365)","Module structure for Calendars (Google Calendar,i-Cal,Office 365)",Feature,Completed,,closed,,
163,Sockets.io framework configuration,Sockets.io framework configuration,Feature,Completed,,closed,,
164,Templates for Service Provider Landing page (Details),Templates for Service Provider Landing page (Details),Feature,Completed,,closed,,
165,Customer - Registration,Customer - Registration,Feature,Completed,,closed,,
166,Provider - Registration,Provider - Registration,Feature,Completed,,closed,,
167,Customer - Email Verification at registration,Customer - Email Verification at registration,Feature,Completed,,closed,,
168,Provider - Email Verification at registration,Provider - Email Verification at registration,Feature,Completed,,closed,,
169,Staff - Email Verification at registration,Staff - Email Verification at registration,Feature,Completed,,closed,,
170,Customer - Account login,Customer - Account login,Feature,Completed,,closed,,
171,Provider - Account login,Provider - Account login,Feature,Completed,,closed,,
172,Super admin - Account login,Super admin - Account login,Feature,Completed,,closed,,
173,Staff - Login as a staff,Staff - Login as a staff,Feature,Completed,,closed,,
174,Provider - Forgot Password,Provider - Forgot Password,Feature,Completed,,closed,,
175,Customer - Forgot Password,Customer - Forgot Password,Feature,Completed,,closed,,
176,Staff - Forgot Password,Staff - Forgot Password,Feature,Completed,,closed,,
177,Super admin - Logout,Super admin - Logout,Feature,Completed,,closed,,
178,Provider - Logout,Provider - Logout,Feature,Completed,,closed,,
179,Customer - Logout,Customer - Logout,Feature,Completed,,closed,,
180,Staff - Logout,Staff - Logout,Feature,Completed,,closed,,
181,Provider - Biz Detail - Add,Provider - Biz Detail - Add,Feature,Completed,,closed,,
182,Provider - Biz Detail - Edit,Provider - Biz Detail - Edit,Feature,Completed,,closed,,
183,Provider - Biz Detail (Gallery) - Add,Provider - Biz Detail (Gallery) - Add,Feature,Completed,,closed,,
