Title,description,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,milestone ,Status,assignee_username,creator
API Server using Zend Apigility,API Server using Zend Apigility,Feature,Completed,,,,,,,,,,,
Data parsing/Validation using global scope at AngularJS,Data parsing/Validation using global scope at AngularJS,Feature,Completed,,,,,,,,,,,
"Module structure for Calendars (Google Calendar,i-Cal,Office 365)","Module structure for Calendars (Google Calendar,i-Cal,Office 365)",Feature,Completed,,,,,,,,,,,
Sockets.io framework configuration,Sockets.io framework configuration,Feature,Completed,,,,,,,,,,,
Templates for Service Provider Landing page (Details),Templates for Service Provider Landing page (Details),Feature,Completed,,,,,,,,,,,
Customer - Registration,Customer - Registration,Feature,Completed,,,,,,,,,,,
Provider - Registration,Provider - Registration,Feature,Completed,,,,,,,,,,,
Customer - Email Verification at registration,Customer - Email Verification at registration,Feature,Completed,,,,,,,,,,,
Provider - Email Verification at registration,Provider - Email Verification at registration,Feature,Completed,,,,,,,,,,,
Staff - Email Verification at registration,Staff - Email Verification at registration,Feature,Completed,,,,,,,,,,,
Customer - Account login,Customer - Account login,Feature,Completed,,,,,,,,,,,
Provider - Account login,Provider - Account login,Feature,Completed,,,,,,,,,,,
Super admin - Account login,Super admin - Account login,Feature,Completed,,,,,,,,,,,
Staff - Login as a staff,Staff - Login as a staff,Feature,Completed,,,,,,,,,,,
Provider - Forgot Password,Provider - Forgot Password,Feature,Completed,,,,,,,,,,,
Customer - Forgot Password,Customer - Forgot Password,Feature,Completed,,,,,,,,,,,
Staff - Forgot Password,Staff - Forgot Password,Feature,Completed,,,,,,,,,,,
Super admin - Logout,Super admin - Logout,Feature,Completed,,,,,,,,,,,
Provider - Logout,Provider - Logout,Feature,Completed,,,,,,,,,,,
Customer - Logout,Customer - Logout,Feature,Completed,,,,,,,,,,,
Staff - Logout,Staff - Logout,Feature,Completed,,,,,,,,,,,
Provider - Biz Detail - Add,Provider - Biz Detail - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz Detail - Edit,Provider - Biz Detail - Edit,Feature,Completed,,,,,,,,,,,
Provider - Biz Detail (Gallery) - Add,Provider - Biz Detail (Gallery) - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz Detail (Gallery) - Edit/Delete,Provider - Biz Detail (Gallery) - Edit/Delete,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff - Add,Provider - Biz - Staff - Add,Feature,Completed,,,,,,,,,,,
Provider - Biz - Staff - Edit,Provider - Biz - Staff - Edit,Feature,Completed,,,,,,,,,,,
