Issue number,Title,body,Date created,Date modified,Labels,Milestone,Status,Assignee,Reporter
1,Test1,This is the Test 1: Configuration invalid repository,26/Nov/16  1:46 AM,29/Nov/16  9:54 AM,Bug ,Milestone1,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
71,Appointment & meetings,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-14-2016 Bug Chrome Confirmed Development High Major Naveen Open ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
70,Appointment & meetings,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Arun Bug Chrome Closed Confirmed Development Medium Minor ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
69,Discount / offer Coupons List,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-21-2016 Bug Chrome Confirmed Development Medium Minor Naveen Reopen ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
68,My Profile,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Arun Bug Chrome Confirmed Development Medium Minor Move to Live ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
67,My Profile,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Arun Bug Chrome Confirmed Development Medium Minor Move to Live ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
66,To do Assist,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Arun Bug Chrome Closed Confirmed Development High Minor ,None,open,None,rameshsankar-appointe2e
65,Discount / offer Coupons List,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-21-2016 Bug Chrome Confirmed Development Feedback Medium Minor Naveen ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
64,Staff List,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-22-2016 Arun Bug Chrome Confirmed Development High Minor Move to Live ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
63,Add offer /Add discount,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed Development Medium Minor Naveen Open ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
62,Service List,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed High Major Move to Live Ragul UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
61,Add Offer,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Closed Confirmed Low Minor Naveen UX ,None,open,None,rameshsankar-appointe2e
60,Add New Services,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed Low Move to Live Ragul Text UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
59,Add Discount,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Closed Confirmed Medium Minor Naveen UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
58,Add New Branch / Location,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-25-2016 Bug Chrome Confirmed Low Ragul Reopen Text UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
57,Branch / Location List,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed Low Minor Move to Live Ragul UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
56,Business Details,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Closed Confirmed Development Medium Minor Ragul ,None,open,None,rameshsankar-appointe2e
55,Biz setup step 4,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed Low Minor Move to Live Naveen UX ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
54,Add Offer,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-17-2016 Bug Chrome Closed Confirmed Development High Major Naveen ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
53,Add Offer,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-7-2016 Bug Chrome Confirmed Low Naveen Open Text UX ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
52,Business Details,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-17-2016 Bug Chrome Closed Confirmed Development High Minor Ragul ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
51,Add Offer,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-17-2016 Bug Chrome Closed Confirmed Development Major Medium Naveen ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
50,Add Offer,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-17-2016 Bug Chrome Confirmed Low Minor Naveen Open UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
49,Add Gift Certificate,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-22-2016 Arun Bug Chrome Closed Confirmed Development Medium Minor ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
48,Business Details,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Arun Bug Chrome Closed Confirmed Low Text UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
47,Biz setup step 2,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-28-2016 Bug Chrome Confirmed Low Ragul Reopen Text UX ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
46,Biz setup step 1,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-28-2016 Bug Chrome Confirmed Development High Major Ragul Reopen ,None,open,ragul-appointe2e,rameshsankar-appointe2e
45,To do Assist,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Bug Chrome Closed Confirmed Medium Minor Ragul UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
44,Registration,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Bug Chrome Closed Confirmed High Major Ragul UX ,None,open,None,rameshsankar-appointe2e
43,Registration,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Bug Chrome Confirmed Low Move to Live Ragul Trivial UI ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
42,Registration,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-17-2016 Bug Chrome Confirmed Low Move to Live Ragul Text UX ,None,open,ragul-appointe2e,rameshsankar-appointe2e
41,Appointment & meetings,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Arun Bug Chrome Closed Confirmed Development Medium Minor ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
40,Appointment & meetings,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Arun Block Bug Chrome Closed Confirmed Development High ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
39,Appointment & meetings,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-24-2016 Arun Bug Chrome Confirmed Development High Major Open ,None,open,ragul-appointe2e,rameshsankar-appointe2e
38,Login Page,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,11-5-2016 Arun Block Chrome Confirmed Development Feature High Hold ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
37,To do Assist,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,10-25-2016 Bug Chrome Confirmed Development High Minor Move to Live Ragul ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
36,To do Assist,,30/Nov/16 10:51 AM,30/Nov/16 10:51 AM,10-25-2016 Bug Chrome Confirmed Development High Minor Move to Live Ragul ,None,open,ragul-appointe2e,rameshsankar-appointe2e
35,To do Assist,,30/Nov/16  1:32 AM,30/Nov/16  1:32 AM,10-25-2016 Bug Chrome Confirmed Development High Minor Move to Live Ragul ,None,open,ragul-appointe2e,rameshsankar-appointe2e
34,To do Assist,,30/Nov/16  1:28 AM,30/Nov/16  1:28 AM,10-25-2016 Bug Chrome Confirmed Development High Minor Move to Live Ragul ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
33,To do Assist,,29/Nov/16 10:21 AM,29/Nov/16 10:21 AM,10-25-2016 Bug Chrome Confirmed Development High Minor Move to Live Ragul ,None,open,rameshsankar-appointe2e,rameshsankar-appointe2e
32,To do Assist,,29/Nov/16 10:13 AM,29/Nov/16 10:13 AM,10-25-2016 Chrome Ragul ,None,open,None,rameshsankar-appointe2e
31,Test 2,This is the test 2 desc,29/Nov/16  9:59 AM,29/Nov/16  9:59 AM,Bug Feature Improvement ,None,open,None,rameshsankar-appointe2e
30,Test 30,This is the test 30 desc,29/Nov/16  9:35 AM,29/Nov/16  9:35 AM,Bug Feature Improvement ,None,open,None,rameshsankar-appointe2e
29,Test 29,This is the test 29 desc,29/Nov/16  9:34 AM,29/Nov/16  9:34 AM,Bug Feature Improvement ,None,open,None,rameshsankar-appointe2e
28,Test 28,This is the test 28 desc,29/Nov/16  9:31 AM,29/Nov/16  9:31 AM,Bug Development Feature ,None,open,None,rameshsankar-appointe2e
27,Test 27,This is the test 27 desc,29/Nov/16  9:27 AM,29/Nov/16  9:27 AM,Bug Feature Improvement ,None,open,None,rameshsankar-appointe2e
26,Test 24,This is the test 24 desc,29/Nov/16  5:10 AM,29/Nov/16  5:10 AM,Feature ,None,open,None,rameshsankar-appointe2e
25,Test 24,This is the test 24 desc,29/Nov/16  5:09 AM,29/Nov/16  5:09 AM,Feature ,None,open,None,rameshsankar-appointe2e
24,Test 24,This is the test 24 desc,28/Nov/16 10:25 AM,28/Nov/16 10:25 AM,Feature ,None,open,None,rameshsankar-appointe2e
23,Test 23,This is the test12 desc,28/Nov/16 10:13 AM,28/Nov/16 10:13 AM,Feature ,None,open,None,rameshsankar-appointe2e
22,Test 22,This is the test12 desc,28/Nov/16 10:10 AM,28/Nov/16 10:10 AM,Bug ,None,open,None,rameshsankar-appointe2e
21,Test 22,This is the test12 desc,28/Nov/16 10:06 AM,28/Nov/16 10:06 AM,Bug ,None,open,None,rameshsankar-appointe2e
20,Test 22,This is the test12 desc,28/Nov/16  9:58 AM,28/Nov/16  9:58 AM,Bug ,None,open,None,rameshsankar-appointe2e
19,Test 18,This is the test18 desc,28/Nov/16  9:47 AM,28/Nov/16  9:47 AM,Feature ,None,open,None,rameshsankar-appointe2e
18,Test 18,This is the test18 desc,28/Nov/16  9:46 AM,28/Nov/16  9:46 AM,Bug ,None,open,None,rameshsankar-appointe2e
17,Test 5,This is the test5 desc,28/Nov/16  9:41 AM,28/Nov/16  9:41 AM,Improvement ,None,open,None,rameshsankar-appointe2e
16,Test 4,This is the test4 desc,28/Nov/16  9:41 AM,28/Nov/16  9:41 AM,Development ,None,open,None,rameshsankar-appointe2e
15,Test 3,This is the test3 desc,28/Nov/16  9:41 AM,28/Nov/16  9:41 AM,Improvement ,None,open,None,rameshsankar-appointe2e
14,Test 2,This is the test2 desc,28/Nov/16  9:41 AM,28/Nov/16  9:41 AM,Feature ,None,open,None,rameshsankar-appointe2e
