Issue number,Title,body,Date created,Date modified,Labels,Milestone,Status,Assignee,Reporter
145,testing changelog,testing ,24/Dec/16  7:39 AM,24/Dec/16  3:34 PM,"",None,closed,None,rameshsankar-appointe2e
139,My Profile,In phone no field it should accept numbers only.But it accepting Letters also.It should be avoided.Please refer to screen shot,30/Nov/16  3:20 PM,26/Dec/16  5:32 AM,11-7-2016 Arun Bug Chrome Confirmed Development Medium Minor Move to Live ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
137,Discount / offer Coupons List,The sorting option for status bar is not working,30/Nov/16  3:20 PM,24/Dec/16  9:37 AM,11-21-2016 Bug Chrome Confirmed Development Feedback Medium Minor Naveen ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
136,Staff List,Broken images were displaying in the staff list page.Please refer to screenshot.,30/Nov/16  3:20 PM,24/Dec/16  7:38 AM,11-22-2016 Arun Bug Chrome Confirmed Development High Minor Move to Live ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
134,Service List,Status Title missing in the service Lists.,30/Nov/16  3:20 PM,24/Dec/16 10:00 AM,11-7-2016 Bug Chrome Confirmed High Major Move to Live Ragul UX ,None,closed,ragul-appointe2e,rameshsankar-appointe2e
124,Business Details,"Once the Business Logo is uploaded, and click Submit button, and move to some other menu and returning back, the broken image is displaying.",30/Nov/16  3:19 PM,24/Dec/16  8:43 AM,11-17-2016 Bug Chrome Closed Confirmed Development High Minor Ragul ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
123,Add Offer,When tried to submit the add offer page.it take more time to submit.,30/Nov/16  3:19 PM,24/Dec/16  8:43 AM,11-17-2016 Bug Chrome Closed Confirmed Development Major Medium Naveen ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
122,Add Offer,when cursor is clicked in Between field.we should not able to edit the hours field.But the field is editable using keyboard,30/Nov/16  3:19 PM,24/Dec/16  8:43 AM,11-17-2016 Bug Chrome Confirmed Low Minor Naveen Open UX ,None,closed,ragul-appointe2e,rameshsankar-appointe2e
121,Add Gift Certificate,If we create gift certificate in dev site mail receiving in inbox but at the same time if we create gift certificate in live site mail receiveing in Spam.,30/Nov/16  3:19 PM,24/Dec/16  8:43 AM,11-22-2016 Arun Bug Chrome Closed Confirmed Development Medium Minor ,None,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
120,Business Details,Business setup:After we completing all 5 steps in business setup and finally when we click submit button.Alert msg is not displaying properly.Please refer to video.,30/Nov/16  3:19 PM,24/Dec/16  8:43 AM,11-5-2016 Arun Bug Chrome Closed Confirmed Low Text UX ,None,closed,ragul-appointe2e,rameshsankar-appointe2e
116,Registration,Terms & Condition & Privacy Policy is not functioning.,30/Nov/16  3:19 PM,26/Dec/16  5:16 AM,11-5-2016 Bug Chrome Closed Confirmed High Major Ragul UX ,None,closed,None,rameshsankar-appointe2e
1,Test1,This is the Test 1: Configuration invalid repository,26/Nov/16  5:46 AM,26/Dec/16  6:51 AM,Bug ,Milestone1,closed,rameshsankar-appointe2e,rameshsankar-appointe2e
183,Provider - Biz Detail (Gallery) - Add,Provider - Biz Detail (Gallery) - Add,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
182,Provider - Biz Detail - Edit,Provider - Biz Detail - Edit,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
181,Provider - Biz Detail - Add,Provider - Biz Detail - Add,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
180,Staff - Logout,Staff - Logout,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
179,Customer - Logout,Customer - Logout,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
178,Provider - Logout,Provider - Logout,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
177,Super admin - Logout,Super admin - Logout,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
176,Staff - Forgot Password,Staff - Forgot Password,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
175,Customer - Forgot Password,Customer - Forgot Password,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
174,Provider - Forgot Password,Provider - Forgot Password,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
173,Staff - Login as a staff,Staff - Login as a staff,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
172,Super admin - Account login,Super admin - Account login,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
171,Provider - Account login,Provider - Account login,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
170,Customer - Account login,Customer - Account login,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
169,Staff - Email Verification at registration,Staff - Email Verification at registration,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
168,Provider - Email Verification at registration,Provider - Email Verification at registration,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
167,Customer - Email Verification at registration,Customer - Email Verification at registration,27/Dec/16  1:37 PM,27/Dec/16  1:37 PM,Completed Feature ,None,open,None,rameshsankar-appointe2e
